t,neuron
157.4,1850
157.7,5450
157.7,11850
157.9,3550
158.2,2450
158.5,9450
158.7,750
158.7,1750
158.7,2150
158.8,10750
159.1,50
159.2,950
159.2,11550
160.3,1550
160.3,5150
160.4,6450
160.4,6850
160.6,11350
184.5,10150
184.8,1250
185.8,9150
186.1,9650
186.3,8950
187.7,3150
187.8,150
187.9,7250
187.9,7450
188.4,12250
189.3,5650
189.4,750
189.6,3950
189.9,7550
190.1,4150
190.5,1550
190.6,6650
190.7,4450
190.8,5450
190.9,5750
191.1,5350
191.3,6950
191.4,2250
191.6,6750
191.8,9050
192.2,3050
192.4,2950
192.4,11650
192.8,5850
193.1,1950
193.5,8650
193.7,8450
193.8,6250
193.8,12450
193.9,10650
194.1,950
194.1,2050
194.2,8050
194.3,1450
194.3,4850
194.3,5550
194.3,6550
194.4,7150
194.5,6850
194.6,9850
195,6350
195.1,550
195.1,1750
195.1,2750
195.1,7750
195.3,4750
195.4,8250
195.6,7950
195.7,3550
195.9,5950
195.9,8950
195.9,11550
196,350
196,2650
196.2,3450
196.3,4250
196.3,7850
196.3,10450
196.4,8850
196.5,10050
196.6,1050
196.6,1850
196.7,650
196.8,50
196.8,6450
196.8,7650
197.4,9750
197.4,11950
197.6,12150
198.1,5350
198.1,9450
198.4,850
199.4,1350
199.6,2150
199.6,4550
232.5,1450
234.4,9550
235.8,8150
236.7,450
236.7,6850
237,4450
237.2,7550
237.6,10950
238,1250
238.2,5150
238.2,6250
238.6,3150
238.8,10150
238.9,12250
239.2,12450
239.5,4750
239.7,4950
239.7,5250
239.8,650
239.8,750
239.8,5850
239.9,1750
239.9,3550
240.1,1550
240.1,9650
240.2,50
240.2,2150
240.2,8650
240.3,11850
240.4,10250
240.5,1650
240.5,5750
240.8,11150
240.9,4150
241,11350
241.2,5350
241.2,6650
241.3,1350
241.3,2550
241.3,5550
241.3,6450
241.4,3750
241.4,6950
241.4,12150
241.7,6550
241.8,6350
241.8,7650
241.8,9950
241.9,7450
242.2,8250
242.4,11950
242.5,5650
242.5,11450
242.8,3350
242.8,4250
243.2,950
243.2,4550
244.3,8850
244.8,2850
244.8,3050
244.8,10350
245.6,6750
245.8,3650
253.2,5450
257.4,350
259.9,9450
261.4,8950
277.5,3450
278.7,2650
280.9,6850
281.4,9750
285.1,1350
289.4,7350
289.5,3550
289.6,8350
291.3,8150
294.1,2150
294.2,5650
294.3,6150
294.5,1050
294.6,1650
294.6,6350
294.7,3150
294.8,12450
295.4,1850
295.7,7950
295.9,50
296,1950
296.1,4150
296.1,5850
296.1,10050
296.2,11950
296.3,5350
296.4,9850
296.4,11550
296.6,150
296.8,3050
297.1,7450
297.2,2950
297.4,5450
297.4,5750
297.5,6850
297.5,6950
297.6,10650
297.6,12150
297.8,12250
298.1,4550
298.3,550
298.4,450
298.6,750
298.8,6250
299,8650
300.2,7750
300.3,950
300.3,7250
300.5,4850
301.6,10450
301.7,1250
301.7,7650
301.9,650
302.9,7850
303.7,10550
304.8,1550
306.9,350
315.3,4750
317.5,6450
328.5,3150
330.8,6850
331.7,3450
332.9,7150
333,8950
333.7,12450
334.4,2550
334.7,6350
334.7,11750
335.2,1750
336,2250
336.1,250
336.6,5350
337.8,8150
338,4450
338,7450
338.1,1950
338.1,6750
339,750
339.3,4650
339.3,5650
339.4,3350
339.5,3950
339.5,4550
339.6,3550
340.3,5450
340.4,5750
340.5,2850
340.5,5950
341,9550
341.1,3050
341.2,10850
341.3,2450
341.4,10150
341.4,11150
341.5,5150
341.5,11350
341.7,2150
342.7,950
342.7,1650
342.9,50
342.9,7550
342.9,11950
343,4150
343,4250
343,8850
343,12250
343.1,8650
343.4,1350
343.5,350
343.5,2050
343.5,5550
343.6,12050
343.7,6850
343.8,11550
344.3,10050
344.4,10450
344.5,1550
344.6,2650
344.6,6950
344.6,10650
344.7,10550
344.8,7650
345.3,6350
345.7,1450
345.8,1850
345.8,10350
345.9,10950
345.9,12450
346.6,11450
346.8,6550
348,7850
348.9,5350
349.4,9150
353.2,12150
358,9850
358.2,8250
387,7150
387.4,5650
387.6,6650
387.8,8450
388.4,10750
388.5,3450
388.9,350
388.9,4750
388.9,9250
389.2,3050
389.3,2950
389.4,5250
389.6,8350
389.9,6550
389.9,11050
390,12050
390.2,11550
390.5,450
390.5,2750
390.5,3550
390.5,6050
390.5,7750
390.5,9550
390.5,10250
390.6,650
390.6,8950
390.7,150
390.7,750
390.7,950
390.7,3150
390.7,6350
390.7,6450
390.8,5750
390.8,6250
390.8,7450
390.9,2650
390.9,11250
391,7050
391,8850
391.1,9650
391.2,2150
391.2,12250
391.5,5450
391.6,6750
391.7,1350
391.9,1050
392,50
392,1750
392,4150
392,6850
392,11350
392.1,5350
392.2,7550
392.2,8650
392.3,10650
392.4,12450
392.5,1550
392.5,2850
392.8,9950
393.5,10050
393.7,4350
394,1650
394,2350
394.3,2450
394.3,3050
395.1,4550
395.1,4850
395.1,5550
395.5,1950
395.7,10550
396.8,3950
396.8,6950
417.5,7150
428.7,11350
429.8,6450
432.8,550
432.8,1450
432.8,4750
433.7,10650
433.7,11150
434.3,350
434.3,7650
434.5,6650
434.6,12150
434.7,7250
434.8,8150
434.9,7350
