t,neuron
138,8900
138.1,200
138.1,1000
138.4,3100
138.4,3300
138.4,5200
138.4,6800
138.5,1850
138.5,2500
138.5,7750
138.6,2950
138.6,4650
138.6,5700
138.7,6850
138.8,1450
139.1,4000
139.1,6500
139.2,4750
139.2,6200
139.3,4500
139.3,7250
139.6,6300
139.7,3200
140.1,4200
140.3,7300
140.4,5650
140.5,1950
140.6,1400
140.6,3000
140.6,4350
140.7,8550
140.8,300
140.8,3700
140.9,8600
141,550
141,1250
141,4850
141.2,7200
141.2,9800
141.4,850
141.4,8400
141.8,3400
141.9,2900
141.9,4300
141.9,8750
142,5800
142.1,1800
142.3,1300
142.3,1700
142.3,6050
142.3,7700
142.3,8700
142.6,8850
143,4050
143,4150
143.3,5350
143.7,8500
144.1,5050
144.5,5100
144.6,400
144.8,4550
145,1150
145.3,3650
145.3,7800
145.4,9300
145.6,6950
145.8,5200
146,1650
146,9750
146.2,4400
146.2,4950
146.2,8300
146.2,8350
146.3,150
146.3,7950
146.7,9800
146.8,1750
146.8,7650
147,3050
147.1,5750
147.2,2200
147.2,6650
147.5,6750
147.6,2650
147.6,9450
147.7,1900
147.8,750
147.8,7850
147.9,6900
147.9,8450
148,2850
148,6400
148,9550
148.1,5450
148.1,6700
148.3,1800
148.3,8800
148.3,9850
148.4,1050
148.4,8150
148.6,2800
148.6,8050
148.7,3900
148.7,4700
148.8,5000
149.1,7550
149.3,800
149.4,1000
149.8,3100
149.8,8950
151,9050
151.1,3700
151.2,550
152.1,4450
152.1,5500
152.2,5650
152.2,5850
152.3,2300
152.5,5100
152.7,200
153,900
153.2,9500
153.3,8250
153.6,600
154,7250
154.1,1600
154.2,650
154.2,4600
154.3,4000
154.4,5700
154.5,7450
154.7,1350
154.8,350
154.9,7050
155,8600
155.1,4800
155.2,6100
155.2,7650
155.4,100
155.4,6300
155.5,8000
155.7,2350
155.7,5800
155.7,8550
155.8,9700
155.9,7900
156,4500
156.1,4200
156.1,7000
156.1,7300
156.2,2400
156.2,6600
156.2,8750
156.3,9950
156.4,5350
156.4,8300
156.6,50
156.6,2000
156.6,2500
156.9,1150
157,7150
157.1,3650
157.1,5400
157.2,450
157.2,3550
157.2,9850
157.3,1750
157.4,1300
157.4,1400
157.4,2950
157.5,0
157.6,4350
157.7,1450
157.7,8200
157.8,3200
157.8,9600
157.9,5150
157.9,6500
157.9,8900
158.1,9450
158.3,500
158.3,9100
158.4,6700
158.4,6850
158.4,9800
158.7,3100
158.8,3850
158.8,8350
158.8,9400
158.9,9350
159,4950
159.2,6800
159.2,7550
159.3,2750
159.6,8700
160,6450
160.2,4500
160.6,3300
160.8,4850
161.2,1000
161.2,2050
161.7,2850
161.9,3050
162.4,5050
163.2,2900
163.4,6550
163.7,4300
163.9,5250
163.9,7600
164,5200
164,8100
164,8400
164.1,8800
164.3,5800
164.5,200
164.5,750
164.7,7250
165,1800
165.1,5600
165.2,5350
165.2,6750
165.2,8250
165.3,7700
165.4,1700
165.4,4550
165.4,5950
165.7,2100
165.7,7300
166,5000
166.1,3900
166.1,7850
166.6,850
166.6,7950
166.9,4800
166.9,8150
167,9250
167.1,4600
167.1,9050
167.1,9750
167.3,3700
167.3,4650
167.4,2400
167.5,9500
167.6,1300
167.6,2950
167.6,5650
167.6,7050
167.6,7400
167.6,7650
167.7,6100
167.8,2200
167.9,3000
168,150
168,2000
168.1,550
168.2,4900
168.4,3650
168.5,8750
168.6,1850
168.6,7750
168.9,6150
169,2850
169,4200
169,8650
169.1,1600
169.1,1750
169.1,2150
169.1,3750
169.1,5500
169.1,5700
169.1,5750
169.1,5850
169.2,8850
169.3,8550
169.3,8600
169.6,100
169.6,1900
169.7,5450
169.9,1450
170.1,2450
170.1,3200
170.3,1950
170.3,2050
170.7,7450
171,2500
171.4,4950
171.4,5900
171.5,1050
172.5,3550
172.6,4500
172.7,9150
173,4450
173.2,8150
173.4,1100
173.5,2650
174,8000
174.3,8950
174.5,2750
174.5,2800
174.5,8050
174.7,4300
174.9,6600
174.9,7550
175.3,4250
175.9,5800
176.1,1250
176.1,9450
176.1,9800
176.2,8350
176.3,2600
176.3,6300
176.5,500
176.5,8400
176.6,6950
176.7,4050
176.7,5950
176.8,7950
176.9,5100
176.9,6750
177.2,7850
177.3,7600
177.6,5350
177.7,4150
177.7,9300
177.8,1000
177.9,4850
177.9,5200
177.9,6100
178,3050
178,7250
178.1,1650
178.1,5150
178.1,7900
178.1,8600
178.3,4400
178.3,5000
178.3,7050
178.5,450
178.6,50
178.8,3650
178.9,9700
179.2,3600
179.3,1750
179.3,1800
179.4,200
179.4,6850
179.4,8700
179.5,3400
179.5,5650
179.6,6800
179.7,1950
179.8,4200
179.8,7650
180,9400
180.4,6450
180.6,4000
180.8,9850
181,5850
181.1,1150
181.4,7300
181.4,8450
181.5,3900
182.1,4350
182.8,6650
182.8,8800
183.2,9950
183.5,5250
183.6,900
183.6,3100
183.7,3700
183.7,8550
183.8,1300
183.8,6900
183.9,4750
183.9,5500
183.9,7550
184,3750
184.1,150
184.1,1850
184.2,9050
184.3,5600
184.3,7800
184.3,8250
184.4,3200
184.5,4900
184.6,250
184.6,8900
184.9,4100
184.9,7000
184.9,9600
185,8850
185,9450
185.1,0
185.1,2550
185.1,3450
185.1,5450
185.3,3300
185.3,6500
185.3,8300
185.4,1400
185.8,4950
185.9,8200
185.9,8750
186.2,9150
186.5,3150
186.5,8350
186.8,1450
187.4,8000
187.5,350
187.5,850
187.9,5800
187.9,9500
187.9,9550
188.1,8050
188.6,5750
188.9,500
189.2,1250
189.7,6850
190.3,7650
190.4,6300
190.4,8500
190.5,2450
190.5,2850
190.6,2200
190.7,100
190.7,2050
190.7,5100
190.8,1000
191,6750
191.1,1050
191.1,7300
191.1,9750
191.2,4350
191.2,4500
191.2,4800
191.4,8400
191.4,9100
191.6,1750
191.7,2750
191.8,2900
191.8,3550
191.8,4300
191.8,7850
191.9,7750
192,2650
192,5650
192.1,4600
192.2,550
192.3,50
192.4,2950
192.6,1650
192.6,5000
192.6,9800
192.7,8150
192.8,4550
192.8,5350
192.8,5700
192.9,650
193,4450
193.4,7700
193.4,9050
193.5,6550
193.6,4200
193.6,8800
193.7,1550
193.7,8750
193.7,9300
193.8,7250
193.9,3700
193.9,4400
194,5950
194.3,8550
194.4,1800
194.4,7600
194.5,6450
194.8,7050
195,4000
195.1,9850
195.6,150
195.6,6800
195.7,6700
195.9,2800
195.9,8050
196.2,1900
196.4,3200
196.4,7200
196.5,3650
196.5,8600
197,5800
197.2,750
197.2,1700
197.2,5150
197.2,6100
197.4,7950
197.5,7900
197.7,3050
198,5050
198,5200
198.1,9450
198.4,3850
198.5,7450
198.5,9500
198.6,3300
198.7,200
198.7,4650
198.7,5500
198.8,600
198.9,2500
199.2,2850
199.2,6950
199.2,9600
199.3,7550
199.3,8000
199.3,8850
199.4,450
199.4,8750
199.6,4150
199.7,1450
199.9,6600
199.9,8350
200.1,6200
200.1,9250
200.6,1300
200.6,5650
200.7,7600
200.8,4950
200.8,6750
200.9,3700
201,3400
201,6300
201.1,300
201.1,3900
201.4,5600
201.7,5450
201.9,1600
201.9,3100
202.2,100
202.2,5850
202.4,7650
202.7,7000
202.8,1000
202.8,5900
203.1,2050
203.1,5350
203.2,2400
203.3,2000
203.6,9800
203.8,8700
204.1,350
204.6,8550
204.7,4350
204.9,250
204.9,7850
205,5000
205.2,6650
205.3,2950
205.4,4900
205.6,1150
205.6,1750
205.6,1800
205.6,1950
205.6,3750
205.6,4300
205.6,6900
205.6,7250
205.7,7300
205.8,2150
205.8,4200
205.8,9350
206.4,1300
206.4,5750
206.4,6600
206.4,8350
206.6,0
206.8,8950
207,800
207,4550
207.4,5200
207.5,3000
207.5,3650
207.6,1400
207.8,5500
207.9,900
207.9,5100
207.9,9300
208.2,8250
208.4,1250
208.5,2600
208.5,8450
208.7,550
208.7,850
208.7,9550
208.8,7600
208.9,9050
209,4450
209,8300
209.3,2450
209.4,6500
209.5,7650
209.8,6450
210.1,4600
210.2,8400
210.3,6800
210.5,8100
210.6,1700
210.7,8600
210.7,8800
210.8,2900
211.1,2800
211.4,150
211.5,2100
211.5,7200
211.6,4100
211.6,4800
211.7,9450
211.8,3700
211.8,4400
212,2300
212,7050
212.2,1050
212.2,8750
212.4,2550
212.7,4250
212.7,4950
212.7,9100
212.8,4050
212.8,7900
213.1,7950
213.1,8150
213.4,6750
213.5,5250
213.5,5700
213.6,7700
213.7,450
213.7,6100
213.8,7550
213.9,7000
213.9,8200
214,350
214,2350
214,5950
214,8000
214.2,3300
214.3,200
214.5,2750
214.5,6850
214.5,9150
214.6,2700
214.7,1000
214.8,1750
215.3,9050
215.4,4850
215.4,7800
215.7,7400
215.8,5650
215.8,5800
215.8,8050
215.9,5350
216,5000
216.1,3850
216.3,2950
216.5,1800
216.7,750
216.8,8350
217.4,8500
217.5,3550
218,3650
218.3,6300
218.4,50
218.8,7450
218.9,3900
219.1,2200
219.3,9300
219.5,9500
219.6,4000
219.7,7750
220.4,6350
220.6,1250
220.6,7300
220.6,9400
220.7,550
220.8,3600
220.9,4500
221,5100
221.2,1100
221.2,8550
221.2,8600
221.5,4200
221.5,8250
221.6,4650
221.7,1450
221.8,1350
221.8,2100
222.1,2850
222.5,3200
222.5,9850
222.6,400
222.6,4750
222.7,9550
222.9,8150
223,7250
223.2,9800
223.5,1750
223.6,1000
223.7,3750
223.8,2500
223.8,6150
