t,neuron
231.8,5600
231.8,8350
231.9,4300
231.9,8450
231.9,9700
232,7850
232,9100
232.2,3550
232.2,7250
232.3,7750
232.4,50
232.4,2700
232.4,6450
232.4,6500
232.5,2350
232.5,2600
232.5,6750
232.5,7650
232.6,2050
232.6,9300
232.7,6850
232.8,5450
232.9,6900
232.9,8100
233,1000
233,4200
233.1,4500
233.1,5650
233.1,7000
233.2,6350
233.3,1150
233.3,7900
233.4,2200
233.4,4450
233.4,5150
233.6,4850
233.6,6950
233.6,7300
233.6,9050
233.7,2150
233.9,1600
234,6700
234.3,8200
234.4,1700
234.4,5500
234.8,1450
234.9,2400
234.9,9400
235,5950
235.1,2500
235.1,4350
235.4,7950
235.6,6800
235.7,3900
235.8,4550
235.8,8750
235.8,9850
236,1750
236,3000
236.1,9450
236.2,750
236.6,7600
237,3050
237.2,9750
237.6,4000
238,8800
238.3,7050
238.4,4700
239.2,8550
239.4,5000
239.4,5850
239.8,3100
239.8,6150
240,1900
240.3,8050
240.4,850
240.5,2900
240.5,5250
240.5,5400
240.5,8000
240.5,8250
240.5,8500
240.6,9550
240.7,5700
240.9,3400
241,7550
241.1,7450
241.2,550
241.2,5900
241.3,1300
241.4,650
241.4,2300
241.5,0
241.9,5350
241.9,6300
242,7400
242.3,1350
242.4,2750
242.4,3750
242.4,4900
242.5,8400
242.8,8850
242.9,150
243,350
243.1,2800
243.1,4800
243.1,8150
243.3,7250
243.3,7300
243.3,8900
243.4,9500
243.5,1100
243.5,7650
243.6,7850
243.6,8600
243.7,4100
243.7,9400
243.8,2850
243.8,4600
243.8,6200
243.8,6500
243.9,4450
244,3200
244.1,5050
244.1,6100
244.2,4300
244.2,4400
244.3,1400
244.4,5200
244.6,2950
244.6,5800
244.6,9800
244.7,200
244.7,3600
244.7,4950
244.7,9850
244.8,6750
244.9,3700
245,4650
245.1,1250
245.1,6450
245.4,1150
245.4,6800
245.5,1000
245.7,6600
245.9,7800
245.9,9950
246.1,1050
246.1,8350
247.1,600
247.4,8750
247.5,8450
247.6,9600
247.7,5650
247.7,9050
247.8,1750
248,2100
248.1,1450
248.1,3000
248.1,4750
248.1,9300
248.2,6650
248.2,8550
248.3,8100
248.4,7000
248.5,1800
248.5,2200
248.5,7950
248.5,9250
248.6,3650
248.6,5450
248.7,2450
248.7,5600
248.7,6050
248.8,100
248.8,4550
248.8,7200
248.9,2500
248.9,4350
248.9,6550
248.9,7050
248.9,7700
249,4250
249,4500
249.2,5950
