t,neuron
198.6,8700
198.7,750
198.7,1250
198.7,3050
198.7,3300
198.8,1900
198.8,7300
198.8,7550
199,100
199.1,150
199.1,6500
199.1,6800
199.2,9550
199.3,4550
199.3,5350
199.3,7050
199.7,1000
199.9,650
200,200
200,6950
200,8150
200.2,1150
200.3,2000
200.6,5300
200.6,8050
200.7,1600
200.7,9050
200.8,5650
201,9600
201.4,2200
201.5,3100
201.5,4300
201.7,2600
202,8800
202.7,8350
203,4000
203,7650
203.2,1750
203.3,2500
203.6,3750
203.8,4050
204.1,8600
204.2,2800
204.2,5500
204.3,3200
204.4,7000
204.5,4350
204.5,9450
204.7,2650
204.7,4400
204.7,7450
204.9,5750
205.3,5000
205.3,6750
205.7,7800
205.8,2050
205.9,350
205.9,1800
205.9,7600
206.2,2950
206.2,3550
206.3,900
206.3,6100
206.4,6650
206.6,550
206.6,8400
206.7,1850
207.1,1700
207.1,8000
207.1,9150
207.3,1000
207.3,1950
207.3,5800
207.3,6600
207.3,9800
207.4,4800
207.4,8550
207.8,250
207.8,5250
207.9,7550
208,1300
208.3,5100
208.3,7250
208.6,6200
209,6300
209.3,600
209.3,5150
209.4,450
209.8,6850
210,2200
210,5350
210.2,9100
210.4,8200
210.5,1450
210.5,3900
210.6,7750
210.8,7850
211,8750
211.1,100
211.2,4450
211.4,7950
211.6,200
211.6,7300
211.7,1150
211.7,4200
211.9,7150
212,4950
212.2,2850
212.3,800
212.3,850
212.3,6450
212.3,7050
212.4,8350
212.5,2900
212.5,4250
212.8,1400
213.2,9700
213.6,7650
213.8,1050
213.8,9050
213.8,9300
214,3300
214.2,150
214.3,1100
214.3,1250
214.3,5000
214.3,8300
214.4,4300
214.7,4850
214.8,8650
214.9,6750
214.9,6900
215,50
215,1000
215,4750
215.1,3200
215.1,5950
215.1,8150
215.2,350
215.2,1200
215.3,3050
215.5,5050
215.7,2750
215.7,6150
215.8,5650
216.1,3600
216.1,8700
216.3,5750
216.4,550
216.4,3650
216.5,3850
216.5,6800
216.6,2550
216.8,1650
216.8,7450
217,750
217,2450
217,7600
217,9500
217.1,1750
217.1,1800
217.1,3700
217.1,9850
217.2,2600
217.2,5200
217.2,7900
217.2,9550
217.3,3450
217.4,8500
217.6,8800
217.8,3000
217.8,5800
218.1,8900
218.3,8600
218.5,7000
218.7,0
218.7,4900
218.8,7200
219,5700
219.4,7800
219.7,2400
220.1,3550
221.2,4650
221.2,6300
221.5,2950
221.9,1600
221.9,4500
221.9,4550
221.9,8850
222.4,3400
222.4,7700
223,6700
223,8550
223.1,8750
223.2,2800
223.2,6100
223.3,8400
223.3,9050
223.4,4350
223.4,5850
223.5,450
223.5,8250
223.6,8050
223.9,8450
224.1,6550
224.2,1300
224.2,5350
224.4,4150
224.7,5000
224.8,1250
224.9,50
225,100
225,6950
225.1,9800
225.7,5100
225.7,9950
226,5150
226.1,3700
226.1,5650
226.1,9450
226.2,2700
226.2,5600
226.2,7650
226.3,6350
226.3,7850
226.4,4200
226.4,4300
226.4,8100
226.5,5900
226.6,3650
226.6,6600
226.8,1750
226.9,7550
227,7250
227,8600
227,8950
227.2,3100
227.2,8350
227.4,6750
227.6,2200
227.6,7950
227.6,9150
227.7,1800
227.8,500
227.8,2850
227.8,6450
227.9,7050
228.1,4950
228.2,4800
228.3,9100
228.4,2150
228.5,5950
228.6,200
228.6,400
228.6,5200
228.7,4600
228.7,6150
228.9,2500
228.9,8550
229.2,1700
229.3,2950
229.3,3300
229.3,5450
229.4,350
229.4,3900
229.6,1450
230,850
230,9850
230.1,3050
230.2,900
230.3,1900
230.4,4500
230.5,7900
231,150
231,9750
231.1,5800
231.1,7600
231.4,8800
231.5,5350
231.7,1150
231.7,4850
231.8,6900
231.9,2350
232,2550
232.2,1000
232.2,7000
232.4,5700
232.5,550
232.5,2650
232.7,1350
232.7,3550
232.7,5100
232.8,8300
232.9,6800
233,6500
233.3,1950
233.3,2050
233.3,2750
233.3,8700
233.5,7300
233.9,5750
233.9,8150
234,1050
234.4,4450
234.5,100
234.7,7250
234.8,3200
234.8,4750
235.1,1400
235.4,7550
235.5,9300
236.1,9700
236.2,9400
236.5,3000
236.5,3700
236.5,3750
236.5,9050
236.7,8750
236.8,4400
236.8,7650
236.9,2900
236.9,3100
236.9,5500
237,9600
237.1,3900
237.2,750
237.2,6300
237.3,2000
237.4,4700
237.6,7750
237.9,2800
238.7,5650
239,5050
239.3,1300
239.3,5400
239.3,5950
239.3,8550
239.7,7050
240.1,9450
240.2,2400
240.3,6700
240.4,4000
240.4,8200
240.5,7200
240.6,8600
241,3650
241.2,2950
241.2,6550
241.2,8050
241.2,8500
241.4,0
241.4,4200
241.8,3600
241.8,6600
241.9,4550
241.9,7850
242.1,2300
242.2,1750
242.2,6750
242.3,1550
242.6,4500
242.7,4650
242.7,6100
242.8,8150
242.9,7450
243,1600
243,6200
243,7950
243.1,1800
243.1,4050
243.1,4300
243.1,8400
243.1,8900
243.2,3850
243.2,4250
243.2,5250
243.2,8000
243.3,1850
243.3,5350
243.3,8850
243.4,2450
243.4,8800
243.5,1250
243.5,5850
243.6,4100
243.6,4450
243.6,8250
243.7,2100
243.7,2500
243.7,4350
243.7,5650
243.7,6950
243.7,7300
243.7,9500
243.8,2200
243.8,7400
243.8,9400
243.9,600
244,4900
244.1,1000
244.1,4850
244.1,9850
244.2,6450
244.3,5150
244.4,8100
244.7,8350
244.8,200
244.8,5800
245,2850
245.1,6650
245.4,7650
245.5,50
245.9,5000
246.7,6850
246.8,9300
247.1,350
247.2,450
247.2,9800
247.4,4950
247.4,8550
247.6,7100
247.7,4600
247.7,7250
247.9,3300
248.1,1450
248.2,1900
248.3,7600
248.3,9050
248.4,8450
248.6,1050
248.8,3700
249.1,1300
249.2,5950
249.4,4800
249.4,9100
249.5,7000
249.6,7950
249.7,8300
249.8,850
249.8,7700
249.9,8700
250,5200
250.1,3000
250.3,650
250.4,8750
250.6,5500
251.2,3100
251.5,3050
251.5,7650
251.8,6300
252.3,100
252.4,6500
252.5,6800
252.6,7550
252.7,1750
252.7,3900
253,6400
253,7050
253.1,6900
253.3,5350
253.4,1800
253.4,7300
253.5,1950
253.6,550
